Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Retinolekvivalenter();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Makrillfilé varmrökt;1289;1367;327;20,1;27,7;0,0;0,0;2,0;2,9;49,3;0,0;0,0;0,0;0,0;0;6,0;0,0;0,0;1,8;3,3;0,6;0,0;11,3;1,2;3,0;7,6;;0,5;0,1;;0,5;4,5;1,6;0,2;2,7;;92,8;79;79;;6,30;1,50;;0,15;0,46;0;8,2;11,9;0,35;2,90;354;4;;7;1,46;23;307;33;803;29,0;0,86;
Regnbågslax sida kallrökt;1290;795;190;20,4;12,1;0,0;0,0;2,9;3,9;63,6;0,0;0,0;0,0;0,0;0;2,8;0,0;0,0;0,4;1,9;0,4;0,0;3,6;0,7;2,2;4,6;;0,5;0,1;;0,2;3,2;0,8;0,2;2,2;;59,3;72;72;0;3,80;1,70;;0,15;0,10;0;6,3;10,0;0,40;4,20;264;7;;24;0,22;18;345;27;1160;28,1;0,39;
Regnbågslax urtagen varmrökt;1291;657;157;21,9;7,7;0,0;0,0;2,2;2,9;67,5;0,0;0,0;0,0;0,0;0;1,8;0,0;0,0;0,2;1,2;0,3;0,0;2,3;0,5;1,4;2,9;;0,3;0,1;;0,1;2,0;0,5;0,1;1,4;;56,6;19;19;0;7,40;1,10;;0,21;0,15;0;4,5;8,5;0,29;3,30;252;5;;35;0,37;27;220;26;877;26,8;0,51;
Röding urtagen varmrökt;1292;682;163;21,4;8,6;0,0;0,0;2,1;2,8;67,2;0,0;0,0;0,0;0,0;0;1,7;0,0;0,0;0,3;1,1;0,2;0,0;2,8;0,9;1,7;3,2;;0,4;0,2;;0,5;1,7;0,6;0,3;0,7;;57,1;41;41;0;8,20;1,90;;0,08;0,10;0;4,1;8,0;0,36;3,20;243;6;;32;0,26;20;251;26;823;27,0;0,52;
Ål flat- o varmrökt;1293;1790;428;17,8;40,2;0,0;0,0;3,2;4,0;38,0;0,0;0,0;0,0;0,0;0;9,6;0,0;0,0;1,1;6,7;1,6;0,0;17,6;3,5;13,4;9,0;;0,8;0,9;;0,3;5,4;1,7;1,4;2,4;;147,4;3600;3600;0;98,00;14,10;;0,12;0,18;0;3,5;6,8;0,22;4,80;205;7;;20;0,50;35;190;12;1260;66,7;3,05;
Fiskpinnar råa frysta;1294;798;191;12,9;9,0;14,2;0,5;0,8;1,4;62,0;0,0;0,1;0,6;0,3;0;3,6;0,0;0,1;0,1;3,1;0,3;0,0;3,6;0,0;3,6;1,3;;1,0;0,0;;0,1;;0,1;0,0;0,1;;35,0;2;2;0;0,75;0,75;;0,09;0,06;0;1,1;3,5;0,21;1,00;146;15;;0;0,70;23;210;18;300;20,0;0,40;
Makrillfilé konserv i tomatsås;1296;828;198;14,4;15,5;0,5;0,2;0,6;1,4;68,0;0,0;0,0;0,5;0,0;0;3,4;0,0;0,0;1,1;1,9;0,3;0,0;5,8;0,6;1,7;4,7;;0,4;0,0;;0,3;;0,8;0,1;2,3;;23,0;87;48;463;2,40;0,09;0;0,06;0,16;0;6,6;9,0;0,25;6,00;220;19;;0;1,10;20;326;25;248;36,0;1,80;
Surströmming;1297;579;138;13,8;9,3;0,0;0,0;8,5;9,5;67,4;0,0;0,0;0,0;0,0;0;2,5;0,0;0,0;0,6;1,7;0,1;0,0;3,0;0,7;2,0;2,9;;0,5;0,0;;0,3;;0,6;0,0;0,8;0,0;90,0;11;11;5;9,20;2,00;;0,11;0,16;0;2,6;5,1;0,37;10,00;170;5;;42;1,00;150;160;10;3400;20,0;1,80;
Lutfisk kokt hemlagad;1298;210;50;11,5;0,4;0,0;0,0;0,8;1,5;86,6;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,0;0,0;;0,0;;0,0;0,0;0,0;;50,0;0;0;0;1,00;1,00;;0,01;0,01;0;0,2;2,3;0,23;0,80;57;12;;20;0,20;210;5;28;330;20,0;0,40;
Salt sill panerad stekt hemlagad;1299;1210;289;14,1;24,2;4,0;0,9;3,1;4,8;52,0;0,0;0,0;0,2;0,0;0;6,3;0,1;0,3;1,5;3,4;0,7;0,0;10,8;1,1;4,6;5,5;;1,1;0,1;;0,5;;1,1;0,1;1,7;;87,0;87;87;3;5,40;2,53;;0,04;0,23;0;4,7;7,3;0,37;10,80;92;8;;0;1,20;88;55;40;1220;21,8;1,60;
Strömmingsflundra panerad stekt hemlagad;1300;1041;249;15,2;19,2;4,1;0,3;1,3;2,2;59,0;0,0;0,0;0,0;0,0;0;5,8;0,1;0,4;1,0;3,2;1,1;0,1;7,1;0,7;5,8;4,8;0,4;1,7;0,0;1,3;0,6;1,0;0,6;0,0;0,9;0,0;85,0;90;90;0;11,20;3,00;;0,06;0,26;0;3,9;6,7;0,24;9,00;215;7;;0;1,10;38;340;17;520;16,3;1,30;
Torskfilé panerad stekt hemlagad;1301;600;143;17,6;6,0;4,5;0,3;1,6;2,6;69,0;0,0;0,1;0,0;0,0;0;1,9;0,1;0,2;0,2;0,9;0,6;0,0;2,4;0,1;2,2;1,2;;0,6;0,0;;0,1;;0,1;0,0;0,2;;88,0;66;66;0;1,35;1,50;;0,05;0,15;1;2,2;5,4;0,23;0,90;220;17;;0;0,80;16;405;33;620;26,0;0,50;
Ål inkokt hemlagad;1302;1601;383;15,8;36,0;0,0;0,0;0,5;1,0;47,2;0,0;0,0;0,0;0,0;0;8,6;0,0;0,0;0,9;6,0;1,4;0,0;15,7;3,1;12,0;8,1;;0,7;0,8;;0,3;;1,5;1,2;2,1;;140,0;3400;3400;0;40,00;19,30;;0,05;0,20;0;1,7;4,6;0,21;5,60;110;18;;13;0,70;36;119;10;186;63,0;3,20;
Ål ugnsstekt hemlagad;1303;1825;436;16,1;40,5;3,0;0,0;1,2;2,2;38,0;0,0;0,0;0,0;0,0;0;10,1;0,1;0,2;1,1;6,7;1,8;0,0;17,7;3,3;13,8;8,8;;1,2;0,8;;0,4;;1,5;1,3;2,2;;140,0;3500;3500;0;35,00;38,00;;0,15;0,34;0;2,7;5,7;0,21;5,60;181;17;;13;1,10;44;220;15;490;60,0;3,60;
Abborre kokt;1304;453;108;25,0;0,8;0,0;0,0;0,5;1,7;72,6;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,3;;0,0;0,0;;0,0;0,2;0,0;0,0;0,2;0,0;98,1;19;19;0;26,98;0,93;1;0,17;0,13;0;6,6;11,2;0,56;3,96;276;10;30;76;0,31;21;491;34;200;55,6;0,66;
Abborrfilé panerad stekt;1305;587;140;18,7;5,4;3,9;0,3;1,1;2,0;69,7;0,0;0,1;0,1;0,0;1;0,7;0,0;0,0;0,0;0,4;0,2;0,0;2,7;0,0;2,6;1,5;0,1;0,9;0,0;0,0;0,3;0,1;0,0;0,0;0,1;0,0;90,2;66;29;0;19,31;1,91;2;0,13;0,11;0;4,7;8,2;0,34;2,68;215;14;54;53;0,42;21;364;28;447;40,2;0,62;
Friterad fisk;1306;631;151;15,1;5,4;10,0;0,4;0,5;1,2;67,9;0,0;0,0;0,2;0,0;0;0,4;0,0;0,0;0,0;0,3;0,1;0,0;2,9;0,0;2,8;1,7;;1,0;0,0;;0,5;0,0;0,0;0,0;0,1;0,0;38,0;1;1;0;0,77;1,40;0;0,14;0,07;0;2,9;5,7;0,17;0,55;151;8;24;35;0,37;27;272;21;182;18,1;0,39;
Fiskpanetter fiskpinnar stekta;1307;972;232;13,0;13,6;14,4;0,5;0,8;1,5;57,0;0,0;0,1;0,6;0,3;0;4,2;0,0;0,1;0,1;3,3;0,5;0,0;6,3;0,0;6,2;2,6;;1,9;0,0;;0,5;;0,1;0,0;0,1;0,0;35,4;46;2;0;1,30;1,73;;0,08;0,05;0;1,1;3,5;0,17;0,86;147;11;;0;0,71;23;212;18;335;20,2;0,40;
Regnbågslax inkokt;1308;697;167;19,3;10,0;0,0;0,0;0,5;1,6;69,1;0,0;0,0;0,0;0,0;0;2,3;0,0;0,0;0,3;1,5;0,3;0,0;2,9;0,6;1,8;3,8;;0,4;0,1;;0,2;;0,6;0,2;1,8;0,0;57,1;31;31;0;14,12;1,97;;0,07;0,19;0;8,7;12,3;0,68;4,67;255;19;18;39;0,42;72;436;26;198;27,0;0,42;
Regnbågslax panerad stekt;1309;960;230;21,0;15,1;2,6;0,2;1,1;2,3;58,8;0,0;0,1;0,1;0,0;1;2,9;0,0;0,0;0,3;1,9;0,5;0,0;5,6;0,6;4,4;5,2;;1,3;0,1;;0,5;;0,7;0,2;2,0;0,0;61,0;73;33;0;15,59;3,04;0;0,09;0,18;0;9,4;13,2;0,62;4,72;280;22;43;42;0,52;80;476;30;444;28,9;0,50;
Gädda kokt;1310;372;89;21,3;0,2;0,0;0,0;1,0;2,2;76,2;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;0,1;0,0;0,0;0,1;0,0;49,2;0;0;0;5,60;0,53;0;0,05;0,05;0;3,2;7,1;0,30;1,68;253;7;59;50;0,22;51;488;31;411;20,8;0,83;
Gädda panerad stekt;1311;779;186;24,5;7,1;5,7;0,4;1,7;3,1;59,2;0,0;0,2;0,2;0,0;1;1,0;0,0;0,0;0,0;0,5;0,2;0,0;3,7;0,0;3,6;1,9;0,1;1,2;0,0;0,0;0,5;0,1;0,0;0,0;0,1;0,1;86,6;75;24;0;6,66;2,35;4;0,08;0,09;0;3,5;8,0;0,28;1,79;301;18;87;53;0,55;64;548;39;690;24,3;1,12;
Hälleflundra kokt;1312;558;133;21,0;5,4;0,0;0,0;1,1;2,6;71,0;0,0;0,0;0,0;0,0;0;1,1;0,0;0,0;0,2;0,7;0,2;0,0;2,0;0,4;1,0;1,7;;0,1;0,1;;0,0;;0,4;0,1;0,9;0,0;56,3;0;34;1;10,13;0,79;;0,07;0,08;0;9,3;13,2;0,43;1,01;237;9;72;23;0,80;16;450;26;451;43,9;0,56;
Hälleflundra panerad stekt;1313;771;184;19,3;10,0;4,2;0,3;1,4;2,7;63,5;0,0;0,1;0,1;0,0;1;1,6;0,0;0,0;0,2;1,0;0,3;0,0;4,7;0,4;3,8;2,9;0,1;1,0;0,1;0,0;0,4;;0,3;0,1;0,8;0,0;74,2;59;47;1;9,16;2,09;3;0,08;0,10;0;8,0;11,6;0,32;0,90;226;16;77;20;0,91;21;406;27;554;38,9;0,66;
Kolja kokt;1314;407;97;22,4;0,7;0,0;0,0;0,6;1,8;75,1;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,0;0,3;;0,0;0,0;;0,0;;0,1;0,0;0,2;0,0;72,9;4;4;0;0,85;0,47;;0,04;0,08;0;3,6;7,7;0,21;1,42;268;9;19;63;0,61;44;371;29;227;24,3;0,36;
Kolja panerad stekt;1315;614;147;17,4;6,0;5,5;0,4;1,4;2,4;68,3;0,0;0,2;0,2;0,0;1;0,8;0,0;0,0;0,0;0,5;0,2;0,0;3,0;0,0;2,9;1,6;0,1;0,9;0,0;0,0;0,4;;0,1;0,0;0,1;0,0;77,5;61;21;0;1,21;1,75;3;0,05;0,09;0;2,7;5,9;0,14;1,04;218;14;57;45;0,70;40;292;26;553;18,9;0,47;
Lax stekt;1316;939;225;22,8;14,9;0,0;0,0;0,9;2,7;59,6;0,0;0,0;0,0;0,0;0;3,2;0,0;0,0;0,4;2,1;0,4;0,0;6,2;1,2;4,5;4,1;;0,5;0,1;;0,2;;0,6;0,3;1,7;0,0;86,9;37;37;0;15,52;1,61;;0,26;0,10;0;7,4;11,6;0,97;6,54;249;23;84;43;1,00;26;410;30;346;32,3;0,50;
Lax kokt;1317;1002;240;24,4;15,9;0,0;0,0;0,6;2,5;57,2;0,0;0,0;0,0;0,0;0;3,4;0,0;0,0;0,5;2,3;0,5;0,0;6,6;1,3;4,8;4,3;;0,5;0,1;;0,2;;0,6;0,3;1,8;0,0;92,7;40;40;0;16,55;1,72;;0,27;0,12;0;7,9;12,4;1,23;7,39;265;24;74;46;1,06;27;437;32;242;34,4;0,53;
Makrill kokt;1318;985;235;21,9;16,5;0,0;0,0;0,6;3,6;57,9;0,0;0,0;0,0;0,0;0;4,4;0,0;0,0;0,8;2,8;0,6;0,0;5,6;0,7;2,5;4,4;;0,3;0,2;;0,2;;0,9;0,2;1,8;0,0;53,3;43;43;0;13,99;0,30;0;0,13;0,19;0;12,9;16,9;0,75;6,67;263;9;86;45;0,71;10;506;33;255;40,5;0,36;
Makrill panerad stekt;1319;1137;272;19,9;19,2;5,1;0,3;1,2;3,8;51,7;0,0;0,1;0,1;0,0;1;4,4;0,0;0,0;0,7;2,7;0,6;0,0;7,5;0,6;4,8;5,1;;1,1;0,2;;0,5;0,0;0,8;0,2;1,6;0,0;46,7;79;38;0;12,77;1,25;1;0,13;0,15;0;11,5;15,1;0,56;5,51;243;10;100;39;0,74;12;460;33;464;35,6;0,41;
Makrill opanerad stekt;1320;990;237;22,0;16,6;0,0;0,0;1,2;4,2;57,1;0,0;0,0;0,0;0,0;0;4,5;0,0;0,0;0,8;2,8;0,6;0,0;5,6;0,7;2,5;4,4;;0,3;0,2;;0,2;;0,9;0,2;1,8;0,0;53,6;43;43;0;14,07;0,30;0;0,13;0,17;0;13,0;17,0;0,64;6,33;265;9;114;45;0,72;10;509;33;474;40,8;0,37;
Piggvar kokt;1321;372;89;17,9;1,8;0,0;0,0;0,7;1,7;78,6;0,0;0,0;0,0;0,0;0;0,4;0,0;0,0;0,0;0,3;0,0;0,0;0,4;0,1;0,2;0,9;;0,1;0,0;;0,0;;0,2;0,1;0,1;0,0;53,6;15;15;0;2,19;0,86;;0,02;0,14;0;3,2;6,5;0,22;0,96;171;8;19;55;0,54;19;311;48;271;26,8;0,21;
Rödspättafilé kokt;1322;427;102;23,6;0,7;0,0;0,0;0,7;1,7;74,0;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,2;;0,0;0,0;;0,0;0,2;0,1;0,0;0,1;0,0;62,6;0;0;0;2,20;0,47;0;0,36;0,08;0;6,1;10,4;0,30;0,71;207;9;55;55;0,08;14;461;27;267;32,5;0,49;
Rödspättafilé panerad stekt;1323;689;165;21,1;6,0;6,3;0,3;1,3;2,2;64,1;0,0;0,1;0,1;0,0;1;0,9;0,0;0,0;0,0;0,5;0,2;0,0;3,0;0,1;2,9;1,6;0,1;1,0;0,0;0,0;0,4;0,1;0,1;0,0;0,1;0,0;87,6;64;26;0;2,39;1,92;4;0,32;0,11;0;5,1;9,0;0,22;0,67;200;17;76;45;0,39;21;399;27;504;28,5;0,63;
Rödspättafilé opanerad stekt;1324;398;95;22,0;0,6;0,0;0,0;1,3;2,3;75,1;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,2;;0,0;0,0;;0,0;0,2;0,1;0,0;0,1;0,0;58,2;0;0;0;2,05;0,44;0;0,33;0,07;0;5,7;9,7;0,24;0,62;193;9;85;51;0,08;14;430;26;517;30,2;0,45;
Sik kokt;1325;444;106;24,5;0,7;0,0;0,0;0,5;1,9;72,9;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,2;;0,0;0,0;;0,0;0,2;0,0;0,0;0,1;0,0;55,4;0;0;0;9,37;0,52;1;0,11;0,06;0;7,3;11,7;0,57;3,40;291;9;33;47;0,27;15;568;34;211;29,2;0,47;
Sik panerad stekt;1326;650;155;20,3;6,1;4,6;0,3;1,4;2,5;66,2;0,0;0,1;0,1;0,0;1;0,9;0,0;0,0;0,0;0,5;0,2;0,0;3,1;0,1;3,0;1,6;0,1;1,0;0,0;0,0;0,4;0,1;0,0;0,0;0,1;0,0;70,3;60;19;0;7,76;1,84;3;0,10;0,08;0;5,7;9,4;0,38;2,54;250;15;69;37;0,47;20;461;31;554;24,2;0,56;
Sill salt kokt;1327;1104;264;20,9;20,3;0,0;0,0;3,0;3,2;55,7;0,0;0,0;0,0;0,0;0;4,6;0,0;0,0;1,4;2,8;0,2;0,0;8,4;1,1;2,6;5,2;;0,5;0,1;;0,3;;1,1;0,1;1,8;0,0;101,3;13;13;0;6,33;1,27;;0,03;0,19;0;3,2;7,0;0,14;5,92;68;4;;0;1,14;23;66;15;1215;27,8;0,89;
Sill panerad stekt;1328;1192;285;16,5;22,5;4,2;1,0;1,5;2,6;53,3;0,0;0,0;0,1;0,1;7;4,6;0,0;0,0;1,2;2,7;0,3;0,0;10,1;1,0;5,0;6,0;;1,4;0,1;;0,7;;1,0;0,1;1,6;0,0;83,7;79;35;0;12,10;2,07;;0,12;0,15;0;3,4;6,5;0,30;4,25;135;6;119;29;1,11;65;337;32;582;17,4;0,63;
Strömming kokt;1329;833;199;21,8;12,5;0,0;0,0;0,6;2,2;63,5;0,0;0,0;0,0;0,0;0;3,4;0,0;0,0;0,8;2,3;0,1;0,0;4,0;1,0;2,7;3,9;0,2;0,7;0,0;0,8;0,4;0,7;0,8;0,0;1,1;0,0;121,0;16;15;7;12,37;2,69;;0,13;0,19;0;3,5;7,5;0,47;12,10;310;5;64;56;0,95;68;464;41;240;24,2;1,35;
Strömming panerad stekt;1330;847;203;16,4;13,7;3,4;0,6;1,2;2,5;63,4;0,0;0,0;0,1;0,0;4;3,0;0,0;0,0;0,6;1,9;0,2;0,0;5,5;0,7;4,6;4,2;0,1;1,4;0,0;0,6;0,7;0,5;0,6;0,0;0,8;0,0;88,6;54;11;5;9,59;2,95;0;0,11;0,13;0;2,6;5,7;0,30;8,37;244;5;82;41;0,85;53;359;35;487;17,8;1,08;
Ättikströmming;1331;660;158;8,5;10,6;7,1;0,3;1,4;2,0;71,2;0,0;0,3;3,8;3,8;0;3,2;0,1;0,2;0,5;1,7;0,6;0,0;3,9;0,4;3,2;2,6;0,2;0,9;0,0;0,7;0,3;0,6;0,3;0,0;0,5;0,0;46,8;50;50;1;6,17;1,68;;0,04;0,15;0;2,2;3,7;0,15;4,96;122;6;35;1;0,64;25;204;11;565;9,0;0,74;
Kräftströmming;1332;438;105;11,0;6,2;1,0;0,8;0,6;1,6;79,4;0,0;0,9;0,0;0,0;0;1,7;0,0;0,0;0,4;1,1;0,1;0,0;1,9;0,5;1,3;1,9;0,1;0,4;0,0;0,4;0,2;0,3;0,4;0,0;0,5;0,0;58,8;17;7;118;6,01;1,64;;0,08;0,09;3;2,0;4,0;0,24;5,55;159;10;39;27;0,70;47;326;25;248;12,0;0,80;
Strömming opanerad stekt;1333;704;168;18,4;10,6;0,0;0,0;1,2;2,6;68,4;0,0;0,0;0,0;0,0;0;2,8;0,0;0,0;0,7;2,0;0,1;0,0;3,4;0,8;2,3;3,3;0,1;0,6;0,0;0,7;0,3;0,6;0,6;0,0;0,9;0,0;102,3;13;13;6;10,45;2,27;;0,11;0,15;0;3,0;6,3;0,34;9,66;262;4;91;48;0,80;59;392;34;495;20,5;1,14;
Tonfisk stekt;1334;735;176;29,7;6,2;0,0;0,0;0,9;2,2;61,9;0,0;0,0;0,0;0,0;0;1,6;0,0;0,0;0,2;1,0;0,4;0,0;2,0;0,2;1,2;1,8;;0,1;0,1;;0,0;;0,4;0,2;1,1;0,0;48,4;834;834;0;5,73;1,27;;0,27;0,25;0;11,0;16,4;0,47;10,20;324;2;37;51;1,30;11;321;64;344;46,4;0,76;
Torskfilé kokt;1335;361;86;19,5;0,8;0,0;0,0;0,5;1,7;78,1;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,3;;0,0;0,0;;0,0;;0,1;0,0;0,2;0,0;57,2;0;0;0;1,14;1,14;;0,05;0,04;2;2,3;5,9;0,25;0,82;218;10;83;39;0,23;19;407;32;216;30,9;0,46;
Torsk panerad stekt;1336;576;138;16,5;5,8;4,6;0,3;1,1;2,0;70,7;0,0;0,1;0,1;0,0;1;0,9;0,0;0,0;0,0;0,5;0,2;0,0;2,8;0,0;2,8;1,6;0,1;0,9;0,0;0,0;0,3;0,0;0,1;0,0;0,2;0,0;79,1;62;25;0;1,47;2,34;3;0,06;0,08;1;1,9;5,0;0,18;0,72;194;16;93;30;0,46;23;333;29;442;25,6;0,56;
Torsk opanerad stekt;1337;342;82;18,5;0,8;0,0;0,0;1,2;2,3;78,5;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,3;;0,0;0,0;;0,0;;0,1;0,0;0,2;0,0;54,3;0;0;0;1,09;1,09;;0,05;0,03;2;2,2;5,6;0,20;0,74;207;9;114;37;0,23;19;386;31;485;29,3;0,44;
Vitling kokt;1338;410;98;22,5;0,7;0,0;0,0;0,6;1,9;74,9;0,0;0,0;0,0;0,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,1;0,2;;0,0;0,0;;0,0;;0,0;0,0;0,1;0,0;61,5;4;4;0;0,86;0,28;;0,06;0,06;0;2,5;6,6;0,21;0,89;225;10;22;64;0,37;62;455;30;232;30,7;0,62;
Vitlingfilé panerad stekt;1339;593;142;17,5;5,9;4,5;0,3;1,4;2,4;69,4;0,0;0,1;0,1;0,0;1;0,8;0,0;0,0;0,0;0,5;0,2;0,0;3,0;0,0;2,9;1,5;0,1;0,9;0,0;0,0;0,4;;0,0;0,0;0,1;0,0;70,6;61;21;0;1,22;1,61;3;0,06;0,07;0;1,8;5,1;0,14;0,69;187;15;58;46;0,52;52;349;26;546;23,6;0,63;
Fisk varmrökt;1340;968;231;21,1;16,5;0,0;0,0;2,5;3,5;58,9;0,0;0,0;0,0;0,0;0;4,0;0,0;0,0;1,0;2,5;0,3;0,0;6,2;1,0;3,1;4,7;;0,6;0,1;;0,4;1,9;0,8;0,2;1,5;;86,9;47;47;0;7,80;1,02;;0,12;0,25;0;7,2;11,0;0,40;11,53;239;12;21;26;0,94;26;347;29;989;24,4;0,72;
Fiskbullar frysta;1344;327;78;7,8;2,4;6,2;0,0;2,2;1,6;82,0;0,0;0,0;0,0;0,0;0;1,3;0,2;0,1;0,2;0,6;0,2;0,0;0,6;0,0;0,5;0,2;;0,1;0,0;;0,0;;0,0;0,0;0,0;;35,0;40;40;0;0,30;0,16;;0,04;0,04;0;1,0;2,4;0,06;0,50;122;4;;0;0,20;58;207;10;860;20,0;0,40;
Fiskbullar konserv u buljong;1345;273;65;6,4;1,6;6,2;0,0;2,2;1,8;84,0;0,0;0,0;0,0;0,0;0;0,3;0,0;0,0;0,0;0,2;0,1;0,0;0,6;0,0;0,5;0,6;;0,4;0,0;;0,1;;0,0;0,0;0,0;;35,0;40;40;0;0,32;0,18;;0,04;0,04;0;1,0;2,2;0,06;0,60;100;4;;0;0,10;58;205;11;860;20,0;0,40;
Laxpastej lättrökt;1346;1484;355;12,0;30,0;10,0;0,0;5,0;8,0;40,0;0,0;0,0;0,0;0,0;0;2,0;0,0;0,0;0,1;1,3;0,4;0,2;16,2;0,3;14,4;8,8;;5,4;0,0;;3,1;;0,1;0,0;0,2;;18,0;100;100;0;1,50;5,50;;0,33;0,46;0;0,8;3,0;0,10;4,00;330;10;;0;1,00;43;100;15;2000;10,0;3,00;
Böcklingpastej;1347;1521;364;13,0;31,0;9,0;0,0;5,0;8,0;39,0;0,0;0,0;0,0;0,0;0;4,0;0,0;0,0;0,4;2,7;0,7;0,1;12,0;0,4;10,7;12,5;;9,3;0,0;;2,7;;0,2;0,0;0,2;;18,0;100;100;0;1,50;5,50;;0,33;0,46;0;0,8;3,2;0,10;4,00;330;3;;0;1,00;43;100;15;2000;10,0;3,00;
Fiskpudding m ris hemlagad;1348;478;114;11,4;5,6;4,5;0,1;1,1;1,9;76,5;0,0;0,0;1,0;0,0;0;2,7;0,3;0,1;0,3;1,3;0,5;0,0;1,8;0,1;1,5;0,5;;0,3;0,0;;0,0;;0,0;0,0;0,1;;53,0;36;35;13;0,47;0,10;;0,08;0,12;0;1,7;3,8;0,24;0,50;167;13;;0;0,40;60;260;20;425;10,0;0,60;
Fiskgratäng u potatismos hemlagad;1349;478;114;11,4;5,6;4,5;0,1;1,1;1,9;76,5;0,0;0,0;0,2;0,0;0;2,2;0,2;0,2;0,2;1,0;0,5;0,0;2,1;0,1;1,9;0,8;;0,5;0,0;;0,1;;0,0;0,0;0,1;;81,0;61;58;35;0,96;0,10;;0,08;0,12;0;1,7;3,8;0,24;0,80;167;12;;0;0,40;60;260;20;425;14,0;0,60;
Böcklinglåda m äggstanning;1350;689;165;16,0;10,3;2,1;0,1;1,9;2,9;68,2;0,0;0,4;1,7;0,2;0;3,3;0,1;0,0;0,7;2,1;0,3;0,0;3,2;0,6;2,5;2,6;0,2;0,7;0,1;0,0;0,3;;0,4;0,0;0,5;0,0;113,3;78;78;5;6,10;1,10;5;0,03;0,23;0;2,7;5,8;0,18;7,06;171;21;53;28;1,03;70;316;24;754;15,7;0,95;
Fiskbullar panerade stekta;1351;582;139;7,1;7,2;11,3;0,4;1,9;1,7;72,2;0,0;0,2;0,2;0,0;2;1,1;0,0;0,0;0,0;0,6;0,2;0,0;3,6;0,0;3,5;1,9;0,1;1,3;0,0;0,0;0,5;;0,0;0,0;0,0;0,1;58,5;95;53;0;0,91;1,69;3;0,05;0,07;0;1,0;2,3;0,05;0,52;114;12;3;1;0,39;55;200;15;765;18,1;0,57;
Fiskbullar i buljong konserv stuvade m mjölk;1352;366;87;5,7;3,8;7,5;0,1;2,0;2,1;80,8;0,0;0,0;2,2;0,0;0;1,2;0,2;0,0;0,2;0,6;0,2;0,0;1,5;0,0;1,5;0,8;0,0;0,5;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;26,5;50;36;6;0,38;0,45;0;0,05;0,08;0;0,7;1,9;0,05;0,49;106;3;38;0;0,11;90;204;13;816;13,4;0,46;
Fisksoppa;1354;198;47;6,1;1,2;2,7;0,6;1,0;1,8;87,7;0,0;0,7;0,4;0,4;0;0,2;0,0;0,0;0,0;0,1;0,1;0,0;0,5;0,0;0,4;0,3;0,0;0,2;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;26,2;76;8;644;0,31;0,50;0;0,04;0,04;3;1,1;2,3;0,07;0,90;79;10;27;10;0,86;22;155;15;414;9,6;0,46;
